,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
192,442,Nsimba Webster,CHI,26,WR,2,0,3,2,66.7%,14,7.0,0,1,66.7,8,4.7,1.0,7.0,1,WebsNs00
193,444,Kevin White,NOR,30,WR,7,2,5,2,40.0%,74,37.0,0,2,40.0,64,14.8,0.3,10.6,0,WhitKe00
194,446,Dareke Young,SEA,23,WR,13,0,2,2,100.0%,24,12.0,0,2,100.0,12,12.0,0.2,1.8,0,YounDa02
195,448,Maurice Alexander,DET,25,WR,4,0,1,1,100.0%,7,7.0,0,0,0.0,7,7.0,0.3,1.8,0,AlexMa02
196,450,C.J. Board,TEN,29,WR,4,0,1,1,100.0%,6,6.0,0,0,100.0,6,6.0,0.3,1.5,1,BoarC.00
197,451,John Brown,BUF,32,WR,3,0,2,1,50.0%,42,42.0,1,1,50.0,42,21.0,0.3,14.0,0,BrowJo02
198,453,Jalen Camp,HOU,24,WR,2,0,1,1,100.0%,7,7.0,0,1,100.0,7,7.0,0.5,3.5,0,CampJa03
199,454,Keke Coutee,IND,25,WR,8,0,1,1,100.0%,20,20.0,0,0,100.0,20,20.0,0.1,2.5,4,CoutKe00
200,455,Frank Darby,ATL,25,WR,5,0,1,1,100.0%,15,15.0,0,1,100.0,15,15.0,0.2,3.0,0,DarbFr00
201,458,Erik Ezukanma,MIA,22,WR,1,0,1,1,100.0%,3,3.0,0,0,0.0,3,3.0,1.0,3.0,0,EzukEr00
202,461,Danny Gray,SFO,23,WR,13,0,7,1,14.3%,10,10.0,0,1,14.3,10,1.4,0.1,0.8,0,GrayDa02
203,463,Jacob Harris,LAR,25,WR,7,0,1,1,100.0%,6,6.0,0,1,100.0,6,6.0,0.1,0.9,0,HarrJa03
204,465,Tyron Johnson,2TM,26,WR,4,1,1,1,100.0%,8,8.0,0,0,100.0,8,8.0,0.3,2.0,0,JohnTy03
205,467,Mason Kinsey,TEN,24,WR,2,0,1,1,100.0%,3,3.0,0,0,0.0,3,3.0,0.5,1.5,1,KinsMa00
206,470,Jason Moore,LAC,27,WR,6,0,2,1,50.0%,5,5.0,0,0,0.0,5,2.5,0.2,0.8,0,MoorJa02
207,480,KaVontae Turpin*,DAL,26,WR,17,0,2,1,50.0%,9,9.0,0,0,50.0,9,4.5,0.1,0.5,3,TurpKa00
208,482,Cody White,PIT,24,WR,1,1,1,1,100.0%,2,2.0,0,0,0.0,2,2.0,1.0,2.0,0,WhitCo05
209,483,Jameson Williams,DET,21,WR,6,0,9,1,11.1%,41,41.0,1,1,11.1,41,4.6,0.2,6.8,0,WillJa11
210,487,Juwann Winfree,GNB,26,WR,3,0,4,1,25.0%,17,17.0,0,1,25.0,17,4.3,0.3,5.7,0,WinfJu00
211,489,Josh Ali,ATL,23,WR,2,0,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0,AlixJo00
212,499,Tanner Gentry,BUF,28,WR,3,0,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0,GentTa00
213,500,Josh Gordon,TEN,31,WR,2,0,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0,GordJo02
214,501,Lance McCutcheon,LAR,23,WR,10,1,5,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0,McCuLa01
215,502,Stanley Morgan Jr.,CIN,26,WR,14,0,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0,MorgSt02
216,506,DJ Turner,LVR,25,WR,9,0,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,1,TurnDJ00
217,507,James Washington,DAL,26,WR,2,0,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0,WashJa00
