,index,Rk_x,Player_x,Tm_x,Age_x,Pos_x,G_x,GS_x,Tgt_x,Rec_x,Ctch%_x,Yds_x,Y/R_x,TD_x,1D_x,Succ%_x,Lng_x,Y/Tgt_x,R/G_x,Y/G_x,Fmb_x,Player-additional,Rk_y,Player_y,Tm_y,Age_y,Pos_y,G_y,GS_y,Tgt_y,Rec_y,Ctch%_y,Yds_y,Y/R_y,TD_y,1D_y,Succ%_y,Lng_y,Y/Tgt_y,R/G_y,Y/G_y,Fmb_y,TgtPer_2022,TgtPer_2023,TgtDiff,NewTeam
21,1,2,Tyreek Hill*+,MIA,28,WR,17,17,170,119,70.0%,1710,14.4,7,77,56.5,64,10.1,7.0,100.6,1,HillTy00,5,Tyreek Hill,MIA,29,WR,2,2,24,16,66.7%,255,15.9,3,14,62.5,47,10.6,8.0,127.5,0,10.0,12.0,2.0,True
22,115,480,KaVontae Turpin*,DAL,26,WR,17,0,2,1,50.0%,9,9.0,0,0,50.0,9,4.5,0.1,0.5,3,TurpKa00,197,KaVontae Turpin,DAL,27,WR,2,0,4,3,75.0%,20,6.7,0,2,75.0,9,5.0,1.5,10.0,0,0.12,2.0,1.88,True
23,37,49,Mike Williams,LAC,28,WR,13,13,93,63,67.7%,895,14.2,4,39,59.1,55,9.6,4.8,68.8,0,WillMi07,22,Mike Williams,LAC,29,WR,2,2,18,12,66.7%,128,10.7,0,6,44.4,24,7.1,6.0,64.0,0,7.15,9.0,1.85,True
24,0,1,Justin Jefferson*+,MIN,23,WR,17,17,184,128,69.6%,1809,14.1,8,80,57.6,64,9.8,7.5,106.4,0,JeffJu00,2,Justin Jefferson,MIN,24,WR,2,2,25,20,80.0%,309,15.5,0,14,72.0,42,12.4,10.0,154.5,1,10.82,12.5,1.68,True
25,107,359,Samori Toure,GNB,24,WR,11,2,10,5,50.0%,82,16.4,1,2,30.0,37,8.2,0.5,7.5,1,TourSa00,195,Samori Toure,GNB,25,WR,2,0,5,3,60.0%,24,8.0,0,2,40.0,16,4.8,1.5,12.0,0,0.91,2.5,1.59,True
26,90,186,Skyy Moore,KAN,22,WR,16,3,33,22,66.7%,250,11.4,0,13,63.6,30,7.6,1.4,15.6,3,MoorSk01,185,Skyy Moore,KAN,23,WR,2,1,7,3,42.9%,70,23.3,1,2,42.9,54,10.0,1.5,35.0,0,2.06,3.5,1.44,True
27,111,420,Lil'Jordan Humphrey,NWE,24,WR,6,2,4,2,50.0%,20,10.0,0,0,50.0,11,5.0,0.3,3.3,0,HumpLi01,180,Lil'Jordan Humphrey,DEN,25,WR,2,2,4,3,75.0%,15,5.0,1,1,75.0,6,3.8,1.5,7.5,0,0.67,2.0,1.33,False
28,54,91,Darius Slayton,NYG,25,WR,16,11,71,46,64.8%,724,15.7,2,30,57.7,55,10.2,2.9,45.3,2,SlayDa01,52,Darius Slayton,NYG,26,WR,3,2,17,9,52.9%,109,12.1,0,5,29.4,29,6.4,3.0,36.3,0,4.44,5.67,1.23,True
29,94,230,Michael Thomas,NOR,29,WR,3,3,22,16,72.7%,171,10.7,3,13,72.7,21,7.8,5.3,57.0,0,ThomMi05,20,Michael Thomas,NOR,30,WR,2,2,17,12,70.6%,116,9.7,0,6,58.8,25,6.8,6.0,58.0,0,7.33,8.5,1.17,True
30,103,334,Brandon Johnson,DEN,24,WR,7,1,14,6,42.9%,42,7.0,1,2,21.4,12,3.0,0.9,6.0,1,JohnBr23,146,Brandon Johnson,DEN,25,WR,2,1,6,4,66.7%,97,24.3,2,3,66.7,50,16.2,2.0,48.5,0,2.0,3.0,1.0,True
31,71,124,Jahan Dotson,WAS,22,WR,12,10,61,35,57.4%,523,14.9,7,26,50.8,61,8.6,2.9,43.6,0,DotsJa00,61,Jahan Dotson,WAS,23,WR,2,2,12,8,66.7%,62,7.8,0,4,50.0,18,5.2,4.0,31.0,0,5.08,6.0,0.92,True
32,18,23,Amari Cooper,CLE,28,WR,17,17,132,78,59.1%,1160,14.9,9,61,53.0,55,8.8,4.6,68.2,0,CoopAm00,34,Amari Cooper,CLE,29,WR,2,2,17,10,58.8%,127,12.7,0,8,52.9,23,7.5,5.0,63.5,0,7.76,8.5,0.74,True
33,40,54,K.J. Osborn,MIN,25,WR,17,9,90,60,66.7%,650,10.8,5,32,58.9,66,7.2,3.5,38.2,1,OsboKJ00,99,K.J. Osborn,MIN,26,WR,2,1,12,6,50.0%,65,10.8,1,4,33.3,19,5.4,3.0,32.5,0,5.29,6.0,0.71,True
34,13,18,Christian Kirk,JAX,26,WR,17,17,133,84,63.2%,1108,13.2,8,55,52.6,49,8.3,4.9,65.2,1,KirkCh01,18,Christian Kirk,JAX,27,WR,2,2,17,12,70.6%,119,9.9,0,6,52.9,45,7.0,6.0,59.5,0,7.82,8.5,0.68,True
35,31,42,Keenan Allen,LAC,30,WR,10,10,89,66,74.2%,752,11.4,4,39,56.2,46,8.4,6.6,75.2,1,AlleKe00,9,Keenan Allen,LAC,31,WR,2,2,19,14,73.7%,187,13.4,2,7,73.7,42,9.8,7.0,93.5,0,8.9,9.5,0.6,True
36,104,345,Dyami Brown,WAS,23,WR,15,0,14,5,35.7%,143,28.6,2,5,35.7,75,10.2,0.3,9.5,0,BrowDy00,169,Dyami Brown,WAS,24,WR,2,0,3,3,100.0%,25,8.3,0,0,100.0,9,8.3,1.5,12.5,0,0.93,1.5,0.57,True
